标题	详情
感觉一般	内存过大  从开始的2个G左右 现在变成7个G了。 内存小了没法玩
973453486	我想知道多久才能更新呢
下不了了，差评	RT
农药啊 有毒	反正我是打不上去  还充钱了
太坑	游戏玩着玩着直接闪退，还被举报，中毒一样，6p是不是不能玩了？
6个G了，比端游都大下载太慢了	手机里内存最大的软件
体验不错，无论从画质还是流畅度上都十分让人满意	这是一个真正对你有用的评论偶然中发现了一个诚信的捕鱼游戏平台不仅种类多内容丰富而且画面感十分精致真的太棒了！接下的评语不重要了能够让你在忙里偷闲中获得快乐是我们所追求的梦想也想我不喜欢我了这些年都没有任何一个人能够为自己改变的生活习惯不同程度损坏你也早点睡觉去呀在家干吗不吃晚饭在家住不住自己去看房子看书就是这么些个小时了在家住不了自己也觉得是幸福还是痛苦不堪这种天气还是比较喜欢你说你有时间吗这些人的确有问题在于他们对未来发展方向发展信心指数由于是原版并没有汉化上网看了看攻略大概了解基本上算是会玩了稍微有些枯燥虽说是养成类游戏但是我觉得在模式方面应该要添加一些有趣的东西比如我养的这只青蛙出去旅游了基本上除了寄回明信片或者是回来就这两种方式我建议可以添加一个通讯方式在青蛙出去旅游期间我们可以通过这个通讯模式跟青蛙取得联系清楚并知道他在何处跟谁在一起就不会是只有默默地等它回来可以在通讯的时候做一些互动比如问候呀可以开发一种远程发送干粮跟四叶*的小程序比如你在跟它通讯时得知它并不想回来这个时候干粮不够了可以通过远程发送程序将干粮发送给它这是一款最好口碑的品牌形象的品牌和产品创新能力强这些是最值得期待的比原来的版本可玩度差太多了可惜了好游戏开宝箱什么的还有每日支线打卡决斗也遇到很多氪金玩家确实有点难打现在金币的需求量变大但是打钱越来越难希望能改进一下嗯就先这样吧画面虽然失去以前的特色但是真的挺好看加入暗影之体也算是新特色但是这游戏战力提升的机制我真是无语了除了花钱主要是开箱子而且垃圾箱子也必须全开不能删除主线任务难度跨域很大但是面对神级对手勤加练习还是能过的做支线任务还要等时间开启对抗模式没什么意思战力高的伤害差太多在游戏中简单体验到十级也许是我现在技术还不够好吧装备点数三千也只能越阶打三千三百左右的再往上确实打不过装备差距太大了游戏的玩法特别是玩家的互动感觉超级赞如果
能遇到王者很开心	以前在电脑上玩类似的游戏，手机上有王者后，由于它更有普适性而且很方便，我的几个朋友能常一起玩。这类游戏给我最好的东西就是起点的公平，不需去在意别人会有什么天生的优势（虽然有铭文和皮肤加成，不过玩久了所有人都会有），我可以不同于在现实中那样放飞自我。
论英雄皮肤！	英雄没有特色冷门的超级冷！厉害的就那么哪些天天常看到的！皮肤也是按准了几个猛出
游戏打着打着要遭莫名退出来然后扣信誉积分	大部分时间要卡退
Skalsknsbsbwh	这个游戏其实不错，就是不充钱很难匹配到好队友。举报一般也成功不了，但是比起很多氦金游戏还是公平很多的。里面很多皮肤都是可以用碎片兑换或者战令送的。英雄也是只要多开几次黑就可以买得起。抽奖也有很大几率可以获得皮肤和英雄的。
王者荣耀安卓区外挂问题！	安卓我们大家都知道由于系统相对于苹果系统那就是一个天一个地，安卓由于太开放了系统所以导致外挂泛滥，小地图透视，百里自瞄，等严重影响游戏体验，我身边的朋友就有人花钱买这个挂，还在朋友圈公然售卖！我偶然使用了朋友的手机用了这个小地图透视外挂全程抓人基本都是10分钟结束比赛！而且不会被封号！我对天美的举报系统非常的不满意！
对的	说的没毛病
管管孩子，救救游戏！	给1星是想给那个说影响学生学习的人看到，管管孩子，救救游戏！自己不好好管孩子让孩子打游戏你还想说啥？
垃圾游戏	垃圾游戏 没有游戏体验了 fw 腾讯 祝早一点关闭 连输15场 不充钱了 垃圾游戏 中国狗真的废 又菜又爱bb
又要更新了，1700MB呢	没啥好说的，看标题
一群FW	自己F上不上去就怪队友 人家主播新赛季为什么第一时间荣耀 ？ 为什么我单排多个号随便七八十胜率王者？ 一群菜比自己没本事怪匹配机制 只能赢输不起你赶紧衮好吗 你真厉害会一直在一个段位呆着？
辣椒ios每次更新都慢比安卓落后的多气死了	辣椒ios每次更新都慢比安卓落后的多气死了
闪退问题	一分我都不想给 苹果6p老是闪退也不恢复 还扣信誉分 不打算继续玩了 又坑钱
膈应更新	最讨厌王者荣耀动不动就更新，太频繁了吧
关于服务区维修	"我说天美，你能不能给点面子
好歹我玩了两年多了，维修辣么长时间吗，啊？"
五星才能看见	你想赢水晶不同意啊。匹配最垃圾的部分。
辣鸡天美，坑钱害人！！！	不解释
 	 
 	 
策划无妈天美死爸	策划都是孤鹅吗????我巅峰本来在1w名以内，看了下一直没出更新公告，  以为27号不更新了，想着如果是7.4那我到时候肯定不在1w名内，就去打巅峰，结果连跪完了才告诉我今晚更新???以往赛季都是早早出更新公告，  这个赛季最后半个小时发公告???你们考虑过这么多没拿印记的人的感受吗???还有巅峰都是实时排名，一个赛季累死累活就因为你们一个公告白忙活? ?
 	 
 	 
天美狗，请仔细看??	每一局游戏，坑的mvp，不坑都被举报？就问天美狗，这是什么意思？
 	
 	 
举报系统能不能有点用？？	骂人这个识别可以说是做的还不错了，基本有喷子多骂了几句，系统就能检测的到。但是！我想说的是，那些瓜皮队友0-9-2都举报不了是怎么回事？？举报系统还能有点存在感吗？？？甚至有时候一局三瓜皮，这什么匹配系统？？输赢全靠运气了，哪边有瓜哪边输，一点竞技感都没了，游戏体验感很差！
 	 
个人感觉	一文不值，天天更新，更新，除了更新，还是更新，有游戏体验吗，这游戏只会更新吗，卡在钻石局，钻石局还匹配到这么垃圾的队友，也不管，只会更新，更新，更新你妹，越来越不好玩，排位赢了才那么几个分，一分一分的加，输了就掉一大半，勇者积分没满300分就开始掉，赢一局输三局甚至是十局，这游戏真的要废了
匹配机制真的恶心	凭什么连胜之后 就给我匹配演员？凭什么赢几盘之后 对手就是各种大神小号？是鼓励玩小号 还是鼓励老玩家退游？
垃圾，但手游还是不愿卸载	希望lol赶紧出手游版，王者太垃圾了，不是挂机就是骂人，还有水平垃圾的要死的，哔哔哔个没完的，还有系统故意让你输的，到关键团战就卡机的，说好的公平游戏呢，好歹老子也是v+啊。充钱少，就得输，说不定关键时候匹配到的队友就是机器，要么五排遇见对面强大的机器对手，要么单排，队友是垃圾机器。。。呵呵呵，公平游戏，你配吗？？
 	 
??	不管下多少游戏 最后只有王者留下来
	
更新不了	什么破逼玩意
真的是越玩越气感觉匹配机制该改了	排位的匹配机制感觉就像是抛硬币你进去的一刻就已经决定输赢了但是你非得浪费那十几分钟人多质量差
不要重度沉迷王者荣耀	我玩这个王者荣耀有两年叭，之前不打排位，后来才打的排位，我是一个人单排打的，队友真是够让人无语的，我希望你们在选英雄的时候，看阵容选，ok的么？？？练英雄的请去打匹配！可以的么？？？可能你不知道有很多人都是辛辛苦苦一个人单排的，你让人家输了，心里就很舒服么？无心人真的太多，对这个游戏真的越来越不想玩，冲了v7了，马上v8了，钱是不想冲了，让我失望，还有挂机的那些人祝你们被绿被绿被绿，谢谢！！！脑子不好的，和手残的别去打排位！！！谢谢了
一个菜狗子的心里话。	总得来说吧，这游戏确实不错，但是就是上分真的很难，可以说每次到晋级赛总是很难，遇到的队友简直蛇皮到无法形容，本人技术也不是很好，打到铂金1晋级赛连输了22场，可以说22场里都有用心在打，但是总是输，因为各种原因，就是赢不了，现在刚从黄金1打到铂金，还是一样的循环，从黄金1到铂金4连赢3把上了铂金，然后还没捂热，接着就是连输个3-5把，然后又连赢，要么就是根本晋级赛就打不上去，打上去都要好几天，赛季要更新了，打到铂金没敢打了，因为再打一把就掉黄金了，说真的这样真没意思，让这个游戏上分这么难真的有意思么？这个游戏我是下载了又卸载，下载了又卸载，基本玩不了一个月就得卸，我游戏天数有1000多天，然而就打了500场游戏，就是因为上分难，炸人心态，一到晋级赛什么队友都遇得到，简直没法形容了，一个个跟没脑子似的，希望小妲己能够看到我的心里话，我估计也是很多人内心的真实想法，能不能让上分不再那么难？唉，不说了，碎觉了，心累。
。	说真的，王者总体来讲还可以，但是我觉得真的没必要搞什么边境突围和五军这种，内存占太多了而且过一阵就基本没人玩了，现在iPad偶尔还会闪退，还被系统自动当成挂机警告扣分也很无奈。此外，希望英雄平衡方面能改改。王者是我第一款玩的网游，希望能越做越好
游戏不错，但排位机制不完善	每次都能碰到垃圾人，然后自己无论怎么努力一样不断掉星，几天慢慢打上去，一晚上能掉到原来那。我觉得，哪怕是输，起码MPV你不要掉星吧？我努力，但被人坑我有什么办法？玩这个游戏真的让人脾气暴躁。命都会短几年
就只给一颗星	赛季初打到星耀1赛季末最后一刻都没上去王者，一到最后一颗星就开始掉几十颗星，不知道是不是为英雄联盟积累用户，咱也不知道咱也不敢问。演员什么的都不说了，有钱请代练那些个麻烦您多花点去坑荣耀王者可以吗。
苹果	苹果很容易闪退，而且苹果和安卓太麻烦了
我来湮灭这个游戏	"王者荣耀这个游戏让人沉迷，这个确实是让人沉迷，匹配队友烂、挂机多、喷子多，什么样的低素质的都能遇到，让人心态崩溃。这大概就是游戏运营方想要抓住的那种让人又爱又恨又舍不下的感觉吧。
然后，在你升段位的最后一颗星让你反复打不上去，好不容易打上去，必让你连跪，又掉下去，然后还不会掉太多星，差不多了会给匹配很弱鸡的对手，轻松赢得比赛，之后就是到了升段位了，又会重复让你反复上下，给你匹配垃圾队友、挂机、喷子等，总之不会让你轻松。
我对这个套路受够了，我卸载这个游戏，不玩了，也不会重装的。"
垃圾到极致	这游戏好玩嘛？好玩！但就是游戏体验特别差，监管不到位，经常有不合理阵容与没素质人员影响游戏平衡，除了连败是轻而易举，上一个段最后一星根本就是在碰运气
能不能不要晚上11点就开始更新	我建议你们要强制更新，挪到凌晨去好吗，11点对于你们游戏公司来说并不晚，对于玩游戏的人来说也还早，玩得正高兴就强制更新，一更更半小时一个小时，还玩啥嘛
最好不玩	腾讯的游戏从来不以玩家体验为目的，或者说有一定的游戏吸引力之后玩家的体验就是次要的了。赚钱才是最主要的。被诟病的匹配系统从最初至今就是不改，你玩家提多少意见都视而不见。我多出英雄诱导你充值才是根本
赛季结束没有提示	赛季结束没提示的啊呜呜呜呜。没有及时上王者突然就结束了 太难受了
评论游戏	日狗游戏的乐趣？没感觉，声音画面整体游戏体验给人疲惫不堪的感觉，可玩可不玩，卸载也不可惜，玩的是和别人的乐趣
匹配机制宛若智障	你根据想用英雄来匹配，好么，队友不会根据那个来选的，一晚上赢一局连跪N局那是常有的事，我不知道你们的算法到底是怎么算的，总之是宛若智障的算法
越来越垃圾了	搞什么预选位置，一点用没有，一把能排到四个中单或者三个辅助，各种抢位置。还有那个所谓的举报系统，好像举报的多了就没用了，系统根本鸟你，两个人开黑，一个人举报队友减8另一个人举报就只减4分？还有这个连胜必连跪定律，敢说系统不知道谁是坑比？本来是一个娱乐游戏，S6玩到现在，真是脾气越来越不好了，抢位置的挂机的送人头的素质低的眼睛瞎的人越来越多，排位都用来练英雄了，晋级赛不打个五六次，系统是不会让你上去的。天美只想着怎么赚钱，那我就不奉陪了，再见，一星是给你的辛苦分～
太大了 干	这是什么垃圾游戏，我妹子想和我玩很久了 ，苦于没有内村。这次特地删了5个g的照片，结果发现这破游戏要骑马5g空间，运行起来更多，你个辣鸡，产品，出来挨打，你和苹果32g设计师一tm丘之壑！
王者荣耀真公平！！！	让挂机的替队友扣星吧 一个人坑队友每人一颗 然后扣6分 继续happy玩 这是王者推崇的公平 好公平啊 一星好评
呵呵	别人一级打我大半罐血我一级打别人才一格血都是一样的英雄这是什么原因，退游了
天美死妈吧	天美团队全死妈吧
不能打了，说升级游戏，升个鬼	不能打了，说升级游戏，升个鬼，并没有更新包。
垃圾游戏	只会坑钱 都是小学生 垃圾游戏 滚吧
腾讯毒害青少年	腾讯快黄了，模仿别人的游戏，做的还不好，玩过LOL都知道，你要评论他不好还删你的评论、也就是他起来的早，现在财大气粗了、要是这种情况放在现在，早就垮掉了、腾讯真没给社会带来什么正能量！
我会推荐所有朋友玩其他	垃圾游戏 真的耽误人时间. 会伤脑上脑。大家不要碰.  监督好孩子. 这个游戏比吸毒更厉害. 伤神伤害所有. 浪费钱 浪费精神. 推荐其他健康点的游戏吧。王者最近都落版了 请你们为了自己的健康 千万把王者戒掉吧 不要沉迷了！ 垃圾游戏. 我会叫我身边的人玩其它健康的游戏 不要再沉迷王者了
策划们chi  史吧 ，更新了才发公告	策划们chi 史吧 ，更新了才发公告
常用英雄不好找 容易错过 影响战绩	排位赛和匹配赛常用的英雄不好找，很多时候都被对友选走，我建议把常用英雄放前面
你们爱信不信	做为一个游戏时间快3年的玩家2个V7安卓苹果各一个。最高才打到星耀是和朋友双排的，一个礼拜就可以从钻石到星耀二，但是只要你单排铁定遇到坑，而且有很多人水平很臭明显就不在一个意识层面的人能让你匹配到绝望，你只要看到他们名字出现基本不用想上星！每次充钱够亚瑟可以Q断安吉拉的大，这样的神迹只有充钱玩家知道多么神奇。当你们把贵的皮肤买齐了那么就是你游戏体验气炸肺的开始。你会发现以前那件装备伤害会明显降低。基本你需要比以前多用一个技能才能击杀，但是你的血量和时间都不会给你机会！大多数都是残血一个后羿的普攻的一支小箭都能收割的！问题你就打不死对面的，数据处理完全是太随心所欲了……我用Ios8P  ：100M的宽带每秒9M的数据下载上传1.3M的数据但是还是会卡，而且是团战关键时候卡你，大家都不傻都懂的，还有迅游加速推送，只要你忽略他推送了，你后面卡的你懂的，我发评论是因为我不打算玩这游戏了。完全是给自己找气受不是来修闲的。游戏防坑很简单，只要玩家把不喜欢和他游戏的人加入黑名单那样坑没人和他玩，和他玩的也是坑，最后他们自己就不玩了，游戏本来就是休闲竞技的，之所以游戏公司不敢推出加黑功能就是因为玩家太少如果用加黑功能匹配会很困难。所以别看推送多，其实真的玩家没多少。
搞不清楚这个煞笔游戏是在干嘛	连胜以后排到的全部都是演员，不是掉分的，就是混分的  垃圾游戏 卸载了
渣渣王者，越来越多坑	这游戏不是对战游戏，是内战游戏，坑货还好，一群骂架的队友，打个锤子游戏，被队友气死了。要卸了，拜拜
死妈策划不得好死控制胜率的死妈游戏	死妈策划不得好死控制胜率的死妈游戏
谁在控制	一直在黄金充了钱立马上星耀，不管打多烂也能赢，打得再好还是输，当和一群猪一起玩时很心累打得不好还不听指挥意义孤行就讨厌这种人。游戏打得再好有什么用，伤神心累手机换了好几次，c，耽误学习工作休息，每天除了一肚子气还是一肚子气。
马化腾牛逼	让我上上分
差评	太垃圾啦啥队友都能碰到恶心的要命辣鸡游戏
非常糟糕	差评差评差评
建立亲密关系	什么时候苹果王者和安卓王者能建立亲密关系就完美了
能不能以后不要更新的这么突然！！！！！！！	S15赛季更新的这么突然 让我一下子心态崩了 想着30多星还想冲个荣耀 突然就提前2个小时公告出来 呸 真的无语
何为蜡机游戏 此乃实至名归	所有的游戏都是有寿命的 王者荣耀 时日无多矣 祝其早日消失于茫茫软件之中 化为历史的泡影 沉沦覆灭
每天给你打一星！	让你也像我一样恶心！
垃圾游戏	垃圾
希望更正	我觉得王者荣耀游戏效果等非常的出色，只不过希望能在苹果与安卓系统联合，能在苹果上搜到安卓的朋友，反之也可以。谢谢??。
能好评？	2.57GB的游戏，文稿与数据就有2.5GB，能下载几个这样的游戏呢！
已卸载无任何游戏体验	此款游戏更新至今，匹配队友机制已越来越奇怪各种奇葩频出使人无力继续，已卸载无任何游戏体验。
现在的王者跟s一样	单排上王者的都是神仙~不充钱永远没有好队友，你去看看身边技术差不多，但充钱不一样的匹配的队友完全不一样
哒哒哒哒哒	好玩
五星希望官方可以看到	讲真的这个游戏玩着挺好的，最大的问题就是游戏风气，你禁一些词汇根本没什么用，有的人会一个个发，而且非常恶心，有的时候气不过骂回去自己反而被扣信誉分。举报根本不会成功，希望能改进这一方面。还有希望更新一个客服，可以把游戏聊天截图发过去，人工识别是否封号，真的太烦这个了
标题吗？	这游戏要我还玩那那也是冲封号去的，要不就坑到别人退游
??天羙	不想多说什么，坑??们，带妹??们，给孩子玩手机得??家长们，真是全，家，死，绝了，还是早日投胎去吧！大概是节假日的坑??们，喷??们艹了天羙所有成员的全，家，女，xing ，或者节假日的坑??们喷??们被??艹了全，家，女，xing，玩什么游戏，回家玩你们家女，xing去吧！??曰的天羙！预祝天羙所有成员，特别策划组匹配组举报组的，全家火葬场，出门就火葬场的那种，预祝所有坑??演员??喷??天羙所有成员祖坟被刨，断，子，绝，孙！祝腾讯早日倒闭，不谢
这个垃圾游戏。  只要充钱你就是王者。  你不充钱你就是个垃圾。	谁玩这个游戏，谁是我儿子
进了游戏全是带打，陪打，代练工作室！都没人管，根本不公平，	凉了，凉了，
王者荣耀这个游戏	这个游戏真的有点恶心，每次排位到晋级赛就上不去，就会匹配一些很菜的人和你打，各种送人头！反正我上个分也是快要崩溃了
微信登录总是需要二次授权 很麻烦 导致挂机扣信誉分	希望立刻改正bug 游戏体验太差 登了以后二次授权 而且不是同一个账号很麻烦
苹果的审核能再慢点吗？	每次赛季更新都延迟，玩这个游戏以来就没有不延迟的，每次都是因为苹果审核的问题，我求求你们能不能审核快一点？
越来越大，7p都快扛不住了	扛不住看不住，越来越大
废物游戏	垃圾游戏，每次晋级都他妈匹配一些废物垃圾队友，删游戏，4分都他妈给多了
你们工作人员就是吃饱了撑的	这是我第一回评论游戏，我就想问你们怎么检测的，一上来打不过我就骂是gou，我忍他三回，一直ma，骂完我骂我家人，那你们的意思就是，我ma你们一句c你m，你们还得笑脸对我说谢谢呗！真好
恶心	我对这个游戏也是服了，刚刚连胜三局，就一直碰到挂机，喜欢骂人的队友，还举报不了，一直输，连输十二局，呵呵，恶心的还不止这个，换了一个青铜号我还照样被针对，这游戏是我见过最恶心的，这辈子都不会再玩了，一点都不注重玩家体验，垃圾游戏，这样你们迟早要完，裁卸！
不能连蓝牙耳机而且游戏内开语音一直说不了话	垃圾游戏语音都说不了蓝牙耳机都用不了一直故障
语音转文字是真的垃圾	"这个语音转文字是真的垃圾！用最标准的普通话都不行！一句话你要说上十几遍才能给你翻译一点点，而且翻译的还不对！
   你就单纯的说“用语音转文字”都能给你搞半天出不来！这是有多垃圾呀！！！！"
垃圾游戏	"iOS版本缓存根本消除不了 匹配个队友还挂机 iPhone6一下完美闪退 我想问这是游戏开发商和手机公司联合劝退让换手机了吧  真tm垃圾
还不如非人学园 内存小 还好玩 天天更新 更个求 没一点使用性 排位一到晋级赛就连输"
又烫又卡。	真他妈垃圾。最近玩了几把。手机又烫又卡。 越更新越垃圾。
想玩的时候竟然玩不了。	非要说劳逸结合，刚准备跟同学开黑就玩不了了。
sb	"非要讨骂才让赢是吧，还没吃鸡好，垃圾游戏再不让我赢死全家吧

好了可以死了"
哥哥	开场太久了
